system:index,MATCH1_x,mean
1937,11Census Tract 42.011,0.115788376
1938,11Census Tract 42.021,0.112129797
1939,11Census Tract 33.021,0.123825429
0000000000000000193a,11Census Tract 74.071,0.220826989
0000000000000000193b,11Census Tract 68.011,0.142747828
0000000000000000193e,11Census Tract 5.021,0.252559518
0000000000000000193f,11Census Tract 441,0.107238567
1940,11Census Tract 461,0.149677689
1941,11Census Tract 48.011,0.149690862
1942,11Census Tract 48.021,0.139933712
1943,11Census Tract 49.021,0.088164834
1944,11Census Tract 74.031,0.260618597
1945,11Census Tract 7.011,0.232107657
1946,11Census Tract 7.021,0.207954372
1947,11Census Tract 74.041,0.254138251
1949,11Census Tract 83.011,0.112693961
0000000000000000194a,11Census Tract 1051,0.124746131
0000000000000000194b,11Census Tract 92.041,0.146055074
0000000000000000194c,11Census Tract 301,0.124775877
0000000000000000194e,11Census Tract 75.021,0.220318553
0000000000000000194f,11Census Tract 75.031,0.170819504
1952,11Census Tract 96.031,0.18820422
1953,11Census Tract 84.021,0.115866311
1955,11Census Tract 14.021,0.261466243
1956,11Census Tract 1011,0.093026878
1957,11Census Tract 47.021,0.108791186
1958,11Census Tract 52.011,0.105630594
1959,11Census Tract 53.011,0.111149574
0000000000000000195c,11Census Tract 431,0.110018188
0000000000000000195d,11Census Tract 79.011,0.136622151
0000000000000000195e,11Census Tract 49.011,0.124467845
0000000000000000195f,11Census Tract 591,0.108048589
1960,11Census Tract 351,0.130541986
1961,11Census Tract 74.061,0.221878469
1962,11Census Tract 33.011,0.166936169
1963,11Census Tract 76.051,0.207384063
1964,11Census Tract 50.021,0.114603045
1965,11Census Tract 47.011,0.137440772
1966,11Census Tract 811,0.120712661
1967,11Census Tract 821,0.11440494
1968,11Census Tract 83.021,0.110027676
1969,11Census Tract 84.101,0.131788187
0000000000000000196a,11Census Tract 1061,0.108298407
0000000000000000196b,11Census Tract 87.011,0.142383008
0000000000000000196c,11Census Tract 80.021,0.162175811
0000000000000000196d,11Census Tract 87.021,0.131416709
0000000000000000196f,11Census Tract 77.071,0.243553782
1972,11Census Tract 89.031,0.156276962
1973,11Census Tract 89.041,0.178475007
1974,11Census Tract 88.021,0.161148431
1976,11Census Tract 1081,0.124857819
1977,11Census Tract 99.031,0.206606655
1978,11Census Tract 99.041,0.234314224
1979,11Census Tract 99.051,0.233209422
0000000000000000197a,11Census Tract 99.061,0.223265468
0000000000000000197b,11Census Tract 21.021,0.165390888
0000000000000000197c,11Census Tract 22.011,0.142917241
0000000000000000197e,11Census Tract 23.011,0.168061798
0000000000000000197f,11Census Tract 651,0.148023679
1980,11Census Tract 661,0.130413438
1981,11Census Tract 671,0.149336141
1983,11Census Tract 68.021,0.149900664
1984,11Census Tract 74.081,0.228303699
1985,11Census Tract 74.091,0.243060824
1986,11Census Tract 78.091,0.211445689
1987,11Census Tract 79.031,0.153650028
1988,11Census Tract 80.011,0.134960002
1989,11Census Tract 95.011,0.230450553
0000000000000000198a,11Census Tract 99.071,0.270940287
0000000000000000198b,11Census Tract 25.011,0.160544146
0000000000000000198c,11Census Tract 241,0.15315537
0000000000000000198d,11Census Tract 25.021,0.170653294
0000000000000000198e,11Census Tract 701,0.130720541
1990,11Census Tract 691,0.135778882
1991,11Census Tract 95.071,0.178245822
1992,11Census Tract 95.081,0.187152853
1993,11Census Tract 95.091,0.19588241
1996,11Census Tract 27.011,0.227965938
1997,11Census Tract 28.011,0.140647187
1998,11Census Tract 28.021,0.121613639
1999,11Census Tract 98.111,0.198258888
0000000000000000199a,11Census Tract 10.021,0.219393845
0000000000000000199b,11Census Tract 78.071,0.211853401
0000000000000000199d,11Census Tract 92.011,0.169289448
0000000000000000199e,11Census Tract 92.031,0.212354831
0000000000000000199f,11Census Tract 121,0.242331759
000000000000000019a0,11Census Tract 14.011,0.247159887
000000000000000019a1,11Census Tract 98.041,0.203877509
000000000000000019a2,11Census Tract 18.041,0.191102681
000000000000000019a3,11Census Tract 19.011,0.164311661
000000000000000019a4,11Census Tract 50.011,0.111357397
000000000000000019a5,11Census Tract 98.021,0.218791868
000000000000000019a6,11Census Tract 98.031,0.213301358
000000000000000019a7,11Census Tract 20.021,0.174061284
000000000000000019a8,11Census Tract 21.011,0.141615404
000000000000000019a9,11Census Tract 291,0.121694402
000000000000000019aa,11Census Tract 311,0.124086332
000000000000000019ab,11Census Tract 321,0.12521908
000000000000000019c5,9Census Tract 7361,0.140790588
000000000000000019c6,9Census Tract 2107.011,0.311224681
000000000000000019d4,9Census Tract 2201,0.255061715
000000000000000019d5,9Census Tract 2151,0.187746603
000000000000000019d7,9Census Tract 7051,0.152409356
000000000000000019d8,9Census Tract 7091,0.154490359
1.90E+01,9Census Tract 21011,0.215936802
1.90E+03,9Census Tract 2011,0.127785216
1.90E+04,9Census Tract 2141,0.208504364
1.90E+09,9Census Tract 4381,0.276187446
1.90E+10,9Census Tract 7211,0.222942969
000000000000000019f1,9Census Tract 7111,0.176640766
000000000000000019f2,9Census Tract 7121,0.156182949
000000000000000019f3,9Census Tract 7131,0.148208906
000000000000000019f4,9Census Tract 7141,0.13115058
000000000000000019f5,9Census Tract 7161,0.13260394
000000000000000019f6,9Census Tract 7191,0.146557232
000000000000000019f7,9Census Tract 7201,0.18920109
000000000000000019f8,9Census Tract 7221,0.234166903
000000000000000019f9,9Census Tract 7231,0.204970943
000000000000000019fa,9Census Tract 7241,0.252784185
000000000000000019fb,9Census Tract 7251,0.240449168
000000000000000019fc,9Census Tract 7281,0.283614403
000000000000000019fd,9Census Tract 4401,0.241948142
000000000000000019fe,9Census Tract 7321,0.247203853
000000000000000019ff,9Census Tract 7331,0.195512737
00000000000000001a03,9Census Tract 8011,0.244889806
00000000000000001a04,9Census Tract 2161,0.184050166
00000000000000001a05,9Census Tract 2171,0.168710791
00000000000000001a06,9Census Tract 218.011,0.260016105
00000000000000001a07,9Census Tract 218.021,0.246680479
00000000000000001a08,9Census Tract 4451,0.215716607
2044,34Census Tract 111,0.188712749
2045,34Census Tract 151,0.157574142
000000000000000020ca,6Census Tract 4414.021,0.241152361
000000000000000020cb,6Census Tract 4415.011,0.248181293
000000000000000020cc,6Census Tract 4415.211,0.210275263
000000000000000020cd,6Census Tract 4415.221,0.223087432
000000000000000020ce,6Census Tract 4416.011,0.212614855
000000000000000020cf,6Census Tract 4416.021,0.208323761
000000000000000020d6,6Census Tract 44181,0.230516137
000000000000000020d7,6Census Tract 4419.211,0.215666347
000000000000000020d9,6Census Tract 4419.231,0.157660072
000000000000000020da,6Census Tract 44211,0.235700462
000000000000000020db,6Census Tract 44241,0.210476697
000000000000000020dc,6Census Tract 44251,0.21062933
0000000000000000211f,6Census Tract 4053.011,0.123162475
2193,6Census Tract 45041,0.203857467
000000000000000021b8,6Census Tract 4506.041,0.319365997
000000000000000021b9,6Census Tract 4506.051,0.286915739
000000000000000021d9,6Census Tract 4506.061,0.29208814
000000000000000021db,6Census Tract 4517.011,0.22936251
000000000000000021f2,6Census Tract 4414.011,0.209789004
000000000000000021f6,6Census Tract 44171,0.164473123
0000000000000000221e,6Census Tract 42341,0.178558764
2222,6Census Tract 42351,0.157079873
2223,6Census Tract 4236.021,0.163660462
2224,6Census Tract 42761,0.152933055
2232,6Census Tract 43301,0.190683348
2233,6Census Tract 43321,0.121164191
2234,6Census Tract 43331,0.159124548
2235,6Census Tract 43351,0.186920555
2236,6Census Tract 4331.021,0.141120824
2237,6Census Tract 4403.071,0.225431534
2238,6Census Tract 43381,0.163575442
2239,6Census Tract 4403.081,0.223677864
0000000000000000223b,6Census Tract 4413.021,0.22414549
0000000000000000223e,6Census Tract 43391,0.156698859
2241,6Census Tract 43401,0.176252822
2242,6Census Tract 43551,0.172696914
2243,6Census Tract 43581,0.204449186
2249,6Census Tract 43601,0.216148108
0000000000000000224a,6Census Tract 43611,0.205408821
0000000000000000224b,6Census Tract 43621,0.150305349
0000000000000000224c,6Census Tract 43631,0.162139248
0000000000000000224d,6Census Tract 4364.011,0.267648742
0000000000000000224e,6Census Tract 4366.021,0.164786048
0000000000000000224f,6Census Tract 43671,0.192476314
2250,6Census Tract 43681,0.154681638
2255,6Census Tract 43691,0.173600183
2256,6Census Tract 43701,0.143131671
2257,6Census Tract 43721,0.164399675
